Year,Crops,Area,Average_Yield,Production,Autum_Area,Autum_Average_Yield ,Autum_Production,Summer_Area,Summer_Average_Yield,Summer_Production
2007,Cucumber,7152.5,12.3,78363.4,6855,12.3,76361.6,297.5,10.1,2001.8
2007,Eggplants,8452.8,3.6,29986,6617.9,3.6,23791.4,1834.9,3.4,6194.6
2007,Jew's mallow,5679.8,2.9,16395,197,2.5,500.4,5482.8,2.9,15894.6
2007,Lettuce,2362.1,5.7,13446.1,2303.1,5.7,13187.6,59,4.4,258.5
2007,Okra,2457.6,0.7,1667.1,146,0.6,92.9,2311.6,0.7,1574.2
2007,Onion dry,2597.7,2.3,5983.5,2424.7,2.3,5608.3,173,2.2,375.2
2007,Onion green,281.3,2.4,680,241.3,2.5,594.8,40,2.1,85.2
2007,Others_(Vegetables),649.2,1.3,809.4,408.7,1.3,542.6,240.5,1.1,266.8
2007,Parsley,31,2.8,85.8,16,2.7,43.8,15,2.8,42
2007,Peas,193.5,1.8,339.1,154,1.7,266,39.5,1.9,73.1
2007,Pepper,4147.1,6.2,12857.1,3543.8,6.3,11133.2,603.3,5.7,1723.9
2007,Potato,10893,2.6,27824.2,10365,2.6,26430.8,528,2.6,1393.4
2007,Radish,142,2.5,361.2,135,2.6,345.1,7,2.3,16.1
2007,Spinach,20,3.3,66.4,20,3.3,66.4,0,0,0
2007,Squash,7110.8,2.2,15809.6,6542.3,2.2,14582.8,568.5,2.2,1226.8
2007,Sweet melon,99.5,4.7,469.1,46.5,4.7,219.5,53,4.7,249.6
2007,Tomatoes,15604.6,6.2,96634.9,12150.4,6.4,77823.3,3454.2,5.5,18811.6
2007,Turnip,45,4.1,183.3,45,4.1,183.3,0,0,0
2007,Water melon,83,4.5,371.6,32,4.4,139.5,51,4.6,232.1
2008,Beans,556.9,2.5,640.9,524.9,2.4,587.9,32,1.7,53
2008,Cabbage,705.3,4.8,3352.6,620.3,4.9,3038.9,85,3.7,313.7
2008,Cauliflower,888.8,2.6,2328.1,845.8,2.6,2199.1,43,3,129
2008,Cowpeas,114.5,1.3,143.1,0,0,0,114.5,1.3,143.1
2008,Cucumber,1064,10.6,8590,850.5,9.1,7764.1,213.5,10.7,825.9
2008,Eggplants,20984.7,2.7,55871.1,15456.7,2.7,41038.2,5528,2.7,14832.9
2008,Jew's mallow,1753.5,2.6,4487,0,0,0,1753.5,2.6,4487
2008,Lettuce,240,2.5,600,240,2.5,600,0,0,0
2008,Okra,252,0.6,151.2,0,0,0,252,0.6,151.2
2008,Onion dry,782.1,3.1,2420.3,757.1,3.1,2345.3,25,3,75
2008,Onion green,11,2.1,23.1,5,2.2,11.1,6,2,12
2008,Others_(Vegetables),1130.5,1.5,1633.6,774.5,1.4,1067.4,356,1.6,566.2
2008,Parsley,624,2.8,1743.1,575,2.8,1620.6,49,2.5,122.5
2008,Peas,1,1.6,1.6,1,1.6,1.6,0,0,0
2008,Pepper,1983.8,5.9,6410.4,1711.8,5.8,5586.4,272,5.9,823.9
2008,Potato,598.5,2.8,1699.7,598.5,2.8,1699.7,0,0,0
2008,Radish,5,3.3,16.3,5,3.3,16.3,0,0,0
2008,Spinach,40,2.9,114,40,2.9,114,0,0,0
2008,Squash,5764.5,1.6,9003.6,5133,1.6,8062.5,631.5,1.5,941
2008,Sweet melon,220,4.2,913,0,0,0,220,4.2,913
2008,Tomatoes,7699.7,4.7,36504.7,6465.7,4.7,30664.8,1234,4.7,5839.9
2008,Turnip,10,3.9,39.3,10,3.9,39.3,0,0,0
2009,Beans,815,3.1,947.3,815,3.1,947.3,0,0,0
2009,Cabbage,1501,3.9,5909.6,1265,4,5060,236,3.6,849.6
2009,Carrot,15,3.6,54,15,3.6,54,0,0,0
2009,Cauliflower,1649,1.7,2747.4,1613,1.6,2639.4,36,3,108
2009,Cowpeas,71,1,71,0,0,0,71,1,71
2009,Cucumber,735.5,9.7,5411.6,666.5,9.6,5294.3,69,1.7,117.3
2009,Eggplants,15713.5,4,63171,12254,4,49324,3459.5,4,13847.1
2009,Jew's mallow,1354.5,3.1,4232.8,17,3.1,53.1,1337.5,3.1,4179.7
2009,Lettuce,276,2.5,690,276,2.5,690,0,0,0
2009,Okra,119,0.9,106.7,4,0.8,3.2,115,0.9,103.5
2009,Onion dry,259.5,4,1038,259.5,4,1038,0,0,0
2009,Onion green,26.5,2.6,70,26.5,2.6,70,0,0,0
2009,Others_(Vegetables),1196,2,2388.3,873.5,2.3,1965.7,322.5,1.3,422.3
2009,Parsley,587.5,2.2,1273,556.5,2.2,1205.8,31,2.2,67.2
2009,Peas,0.5,1.4,0.7,0.5,1.4,0.7,0,0,0
2009,Pepper,1759.5,7.7,7867.5,1550,8,7148.8,209.5,6.5,718.7
2009,Potato,129.5,3,393.5,129.5,3,393.5,0,0,0
2009,Radish,36,2.5,90,36,2.5,90,0,0,0
2009,Spinach,14,3.5,49,14,3.5,49,0,0,0
2009,Squash,5283.5,1.6,8443.5,4682.5,1.5,7122.7,601,2.2,1320.8
2009,Sweet melon,90,4.1,364.6,14,3.2,45.4,76,4.2,319.2
2009,Tomatoes,7264.5,4,29304.1,5207.5,4,20911.1,2057,4.1,8393
2009,Turnip,1.5,2.4,3.6,1.5,2.4,3.6,0,0,0
2010,Beans,707.6,2.6,713.8,693.1,2.6,685.4,14.5,2,28.4
2010,Cabbage,628.5,4.2,2630.7,628.5,4.2,2630.7,0,0,0
2010,Carrot,147,4.1,607.4,97,4.2,407.4,50,4,200
2010,Cauliflower,1190.3,2.6,3088.3,1073.3,2.6,2737.3,117,3,351
2010,Cowpeas,10,1.1,10.5,0,0,0,10,1.1,10.5
2010,Cucumber,1258,10.6,10553.6,1083,10.7,9820.3,175,10.9,733.3
2010,Eggplants,14636.7,3.4,49551.5,13876.2,3.3,46389.3,760.5,4.2,3162.2
2010,Jew's mallow,1024,2.8,2878.9,0,0,0,1024,2.8,2878.9
2010,Lettuce,364,3,1099.8,332,3.2,1051.7,32,1.5,48
2010,Okra,149.5,0.7,108.9,0,0,0,149.5,0.7,108.9
2010,Onion dry,102,2.8,289.7,102,2.8,289.7,0,0,0
2010,Onion green,67.3,2.3,155.7,67.3,2.3,155.7,0,0,0
2010,Others_(Vegetables),1522.1,1.8,2735.9,1187.1,1.8,2172.6,335,1.7,563.1
