Year,Crops,Area,Average_Yield,Production,Autum_Area,Autum_Average_Yield ,Autum_Production,Summer_Area,Summer_Average_Yield,Summer_Production
2016,Okra,2522.5,1.3,3179.3,241.9,1.1,266.1,2280.6,1.3,2913.2
2016,Onion dry,409.4,3.6,1456.3,63.4,3.9,245.3,346,3.5,1211
2016,Onion green,407.7,1.7,700.6,341,1.7,593.8,66.7,1.6,106.8
2016,Others_(Vegetables),582.2,3.4,1967.1,503.8,3.5,1750.3,78.4,2.8,216.9
2016,Peas,82.7,2.2,182.7,66,2,132.6,16.7,3,50.1
2016,Pepper,3852.5,10.2,18936.3,2768,10.3,13841,1084.3,10.2,5095.3
2016,Potato,9171.9,4,36640.7,8861,4,35459.2,310.9,3.8,1181.5
2016,Radish,231.9,3.2,752.5,96.8,2.9,281,135.1,3.5,471.5
2016,Spinach,220.3,4.4,958.4,186.9,4.5,841.6,33.4,3.5,116.8
2016,Squash,2771,3.4,9311.3,1815.1,3.3,5897.6,955.9,3.6,3413.7
2016,Sweet melon,357.1,4.4,1583.3,133.5,6,800.8,223.6,3.5,782.5
2016,Tomatoes,5344.6,9.5,50672.6,3123.3,10.9,34085.9,2221.2,7.5,16586.7
2016,Turnip,220.2,3.9,868.2,156.8,4,627.3,63.4,3.8,240.9
2017,Beans,1945,3.5,3489.6,1310.5,4.1,2536.5,634.5,3.5,953.1
2017,Cabbage,715.5,5,3593.3,369,5.1,1898,346.5,4.9,1695.3
2017,Carrot,406.5,4.1,1684,313.5,4.2,1324.5,93,3.9,359.5
2017,Cauliflower,1286.6,3.9,4960.7,658.8,4,2616.9,627.8,3.7,2343.8
2017,Cowpeas,236.4,1.5,346.9,39,1.3,49.3,197.4,1.5,297.6
2017,Cucumber,1673.7,12.6,15995.9,1128.7,13.6,12864.4,545,11.1,3131.5
2017,Eggplants,2790.6,3.6,9990.7,780.5,4.4,3392.5,2010.1,3.3,6598.2
2017,Jew's mallow,823,2.8,2303.8,83,2.9,242.7,740,2.8,2061
2017,Lettuce,2753.5,3.5,9659.8,1417.5,3.2,4481.5,1336,3.9,5178.2
2017,Okra,2523.2,0.6,1608.7,111.4,1,105.9,2411.8,0.6,1502.8
2017,Onion dry,1235,3.8,4718.1,639,4.1,2632.1,596,3.5,2086
2017,Onion green,567.7,3,1693.8,506.7,3,1526.4,61,2.7,167.4
2017,Others_(Vegetables),904.5,1.8,1597.4,509,1.8,938.7,395.5,1.7,658.2
2017,Parsley,140.5,4.6,642.3,140.5,4.6,642.3,0,0,0
2017,Peas,86,1.2,105.2,76,1.2,91.2,10,1.4,14
2017,Pepper,4745.6,5.9,14626.1,1901.4,6.2,6089.6,2844.2,5.6,8536.4
2017,Potato,5704.1,3.6,20410.5,5250.1,3.6,19034,454,3,1376.5
2017,Radish,224.5,4.6,1028,165,4.7,774.2,59.5,4.3,253.8
2017,Spinach,125,4.8,597.9,102,4.8,487,23,4.8,110.9
2017,Squash,3476.9,2.7,9381.1,1400.7,3,4181.3,2076.2,2.5,5199.8
2017,Sweet melon,476.5,4.8,2270.3,50,4.3,213,426.5,4.8,2057.2
2017,Tomatoes,8509.2,6.3,53973.1,3301.2,5.6,18387.6,5208,6.8,35585.4
2017,Turnip,430.5,4.9,2106.3,230,4.8,1113.8,200.5,5,992.5
